task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,400,0,1,-0.0025,1.0,False,0.05859375,0.0576375,,-0.062109375,-0.060625,
connected_nodes,clustering,400,0,1,-0.0025,1.0,False,0.053515625000000004,0.0552875,,-0.058203125,-0.058525,
connected_nodes,components,400,0,0,0.0,1.0,False,0.047460937499999994,0.0481125,,-0.0498046875,-0.051975,
connected_nodes,degree,400,0,1,-0.0025,1.0,False,0.057421875000000004,0.0583375,,-0.05859375,-0.0590125,
connected_nodes,filler,400,0,1,-0.0025,1.0,False,0.08125000000000002,0.0628125,,-0.065625,-0.0663625,
connected_nodes,rwse,400,0,1,-0.0025,1.0,False,0.057031250000000006,0.05705,,-0.059765624999999996,-0.0571875,
cycle_check,all,395,1,3,-0.005063291139240506,0.625,False,,0.0025822784810126584,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020253164556962026,
cycle_check,clustering,395,1,0,0.002531645569620253,1.0,False,,0.0028354430379746837,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01969620253164557,
cycle_check,components,391,1,6,-0.01278772378516624,0.125,False,,0.0026086956521739132,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021176470588235293,
cycle_check,degree,391,0,6,-0.015345268542199489,0.03125,False,,0.0026086956521739132,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.01928388746803069,
cycle_check,filler,392,0,1,-0.002551020408163265,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022704081632653063,
cycle_check,rwse,392,1,0,0.002551020408163265,1.0,False,,0.003061224489795918,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021173469387755103,
edge_count,all,397,21,6,0.037783375314861464,0.005924612283706665,True,,,,,,
edge_count,clustering,399,3,8,-0.012531328320802004,0.2265625,False,0.020312500000000004,0.020852130325814535,,-0.90625,-0.019197994987468672,
edge_count,components,397,2,7,-0.012594458438287154,0.1796875,False,0.020312500000000004,0.019143576826196475,,-0.8,-0.0182367758186398,
edge_count,degree,393,114,5,0.27735368956743,5.743453631889443e-28,True,,,,,,
edge_count,filler,400,10,5,0.0125,0.3017578125,False,0.020312500000000004,0.01995,,,-0.0187,MDE exceeds 1.0 at this power target
edge_count,rwse,398,1,7,-0.01507537688442211,0.0703125,False,0.020312500000000004,0.019246231155778896,,-1.0,-0.021457286432160803,
edge_existence,all,399,15,54,-0.09774436090225563,2.612848003590018e-06,True,,,,,,
edge_existence,clustering,400,28,12,0.04,0.01658900337497471,True,,,,,,
edge_existence,components,400,16,27,-0.0275,0.12628947438543037,False,0.2,0.01875,,-0.0234375,-0.0224,
edge_existence,degree,398,15,32,-0.04271356783919598,0.01862383661500644,True,,,,,,
edge_existence,filler,400,14,42,-0.07,0.00023444586091919684,True,,,,,,
edge_existence,rwse,400,13,53,-0.1,7.237175237417024e-07,True,,,,,,
node_count,all,400,39,0,0.0975,3.637978807091713e-12,True,,,,,,
node_count,clustering,400,38,3,0.0875,1.0479197953827679e-08,True,,,,,,
node_count,components,400,37,1,0.09,2.837623469531536e-10,True,,,,,,
node_count,degree,400,37,5,0.08,4.4337048166198656e-07,True,,,,,,
node_count,filler,400,37,0,0.0925,1.4551915228366852e-11,True,,,,,,
node_count,rwse,400,39,2,0.0925,7.839844329282641e-10,True,,,,,,
node_degree,all,400,2,34,-0.08,1.941225491464138e-08,True,,,,,,
node_degree,clustering,400,3,5,-0.005,0.7265625,False,,0.0073,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.0208,
node_degree,components,400,1,0,0.0025,1.0,False,,0.007,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01875,
node_degree,degree,400,3,29,-0.065,2.5560148060321808e-06,True,,,,,,
node_degree,filler,400,3,5,-0.005,0.7265625,False,,0.00785,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021,
node_degree,rwse,400,2,11,-0.0225,0.0224609375,True,,,,,,
