arm,task,density,condition,n,acc,acc_lo,acc_hi,f1,hit_cap_rate,parsed_rate,constant_gold,vs_none_delta,vs_none_fixed,vs_none_broke,vs_none_p,vs_none_lo,vs_none_hi,vs_filler_delta,vs_filler_fixed,vs_filler_broke,vs_filler_churn,vs_filler_p,vs_filler_lo,vs_filler_hi,vs_none_churn,vs_none_q,vs_filler_q
qwen3-1.7b,node_count,0.1,none,100,0.02,0.005501852234968185,0.07001316294199365,0.02,0.0,1.0,1,0.0,0,0,,,,-0.14,2,16,18.0,0.001312255859375,-0.22,-0.06,,,0.0022495814732142855
qwen3-1.7b,node_count,0.1,filler,100,0.16,0.10095202349473717,0.24420444558894414,0.16,0.0,1.0,1,0.14,16,2,0.001312255859375,0.06,0.22,0.0,0,0,,,,,18.0,0.0019683837890625,
qwen3-1.7b,node_count,0.1,degree,100,0.03,0.010254338223414816,0.08452078080402699,0.03,0.0,1.0,1,0.009999999999999998,3,2,1.0,-0.03,0.050249999999998636,-0.13,3,16,19.0,0.004425048828125,-0.21,-0.05,5.0,1.0,0.007080078125
qwen3-1.7b,node_count,0.1,clustering,100,0.95,0.8882480347279118,0.9784566385436864,0.95,0.0,1.0,1,0.9299999999999999,93,0,2.0194839173657902e-28,0.88,0.98,0.7899999999999999,79,0,79.0,3.308722450212111e-24,0.7,0.87,93.0,2.4233807008389483e-27,7.940933880509066e-23
qwen3-1.7b,node_count,0.1,rwse,100,0.32,0.2366901081545688,0.4166280225367919,0.32,0.0,1.0,1,0.3,31,1,1.5366822481155396e-08,0.2,0.39024999999999865,0.16,24,8,32.0,0.0070003666914999485,0.05,0.26,32.0,3.073364496231079e-08,0.010500550037249923
qwen3-1.7b,node_count,0.1,components,100,0.19,0.1251465399270426,0.27779024070807856,0.19,0.0,1.0,1,0.17,19,2,0.00022125244140625,0.09,0.26,0.03,16,13,29.0,0.711071103811264,-0.08,0.13,21.0,0.00035400390625,0.8126526900700161
qwen3-1.7b,node_count,0.1,all,100,0.7,0.6041496156718804,0.7810524613377188,0.7,0.0,1.0,1,0.6799999999999999,68,0,6.776263578034403e-21,0.59,0.77,0.5399999999999999,58,4,62.0,2.5917592724744587e-13,0.43,0.65,68.0,2.710505431213761e-20,6.91135805993189e-13
qwen3-1.7b,node_count,0.2,none,100,0.0,0.0,0.03699480747600191,0.0,0.0,1.0,1,0.0,0,0,,,,-0.7,0,70,70.0,1.6940658945086007e-21,-0.79,-0.61,,,1.0164395367051604e-20
qwen3-1.7b,node_count,0.2,filler,100,0.7,0.6041496156718804,0.7810524613377188,0.7,0.0,1.0,1,0.7,70,0,1.6940658945086007e-21,0.6,0.79,0.0,0,0,,,,,70.0,8.131516293641283e-21,
qwen3-1.7b,node_count,0.2,degree,100,0.05,0.02154336145631356,0.11175196527208817,0.05,0.0,1.0,1,0.05,5,0,0.0625,0.01,0.1,-0.6499999999999999,3,68,71.0,5.057803134644878e-17,-0.75,-0.54,5.0,0.07894736842105263,2.4277455046295413e-16
qwen3-1.7b,node_count,0.2,clustering,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,1.0,100,0,1.5777218104420236e-30,1.0,1.0,0.30000000000000004,30,0,30.0,1.862645149230957e-09,0.21,0.39,100.0,3.7865323450608567e-29,4.470348358154297e-09
qwen3-1.7b,node_count,0.2,rwse,100,0.17,0.10893476059773155,0.25548181233642975,0.17,0.0,1.0,1,0.17,17,0,1.52587890625e-05,0.1,0.25,-0.5299999999999999,1,54,55.0,3.1086244689504383e-15,-0.63,-0.43,17.0,2.8170072115384617e-05,1.0658141036401503e-14
qwen3-1.7b,node_count,0.2,components,100,0.41,0.31867157095664655,0.5079874943890338,0.41,0.0,1.0,1,0.41,41,0,9.094947017729282e-13,0.32,0.51,-0.29,11,40,51.0,5.703811637403078e-05,-0.42,-0.16,41.0,2.1827872842550277e-12,0.00010530113792128759
qwen3-1.7b,node_count,0.2,all,100,0.52,0.4231640509017654,0.6153561567991945,0.52,0.0,1.0,1,0.52,52,0,4.440892098500626e-16,0.42,0.62,-0.17999999999999994,14,32,46.0,0.011351591436778108,-0.31,-0.05,52.0,1.1842378929335002e-15,0.016025776146039682
qwen3-1.7b,node_count,0.35,none,100,0.28,0.2013955916759837,0.37488212361345724,0.28,0.0,1.0,1,0.0,0,0,,,,-0.71,0,71,71.0,8.470329472543003e-22,-0.8,-0.62,,,1.0164395367051604e-20
qwen3-1.7b,node_count,0.35,filler,100,0.99,0.9455124752390653,0.9982326134344526,0.99,0.0,1.0,1,0.71,71,0,8.470329472543003e-22,0.62,0.8,0.0,0,0,,,,,71.0,5.082197683525802e-21,
qwen3-1.7b,node_count,0.35,degree,100,0.45,0.3561437510640346,0.5475557296835656,0.45,0.0,1.0,1,0.16999999999999998,31,14,0.016094360031274846,0.049750000000000016,0.29,-0.54,1,55,56.0,1.582067810090848e-15,-0.64,-0.44,45.0,0.02145914670836646,6.328271240363392e-15
qwen3-1.7b,node_count,0.35,clustering,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.72,72,0,4.235164736271502e-22,0.63,0.81,0.010000000000000009,1,0,1.0,1.0,0.0,0.03,72.0,3.3881317890172014e-21,1.0
qwen3-1.7b,node_count,0.35,rwse,100,0.55,0.45244427031643447,0.6438562489359654,0.55,0.0,1.0,1,0.27,38,11,0.00014197068519905542,0.14,0.39,-0.43999999999999995,0,44,44.0,1.1368683772161603e-13,-0.54,-0.34,49.0,0.00024337831748409502,3.410605131648481e-13
qwen3-1.7b,node_count,0.35,components,100,0.7,0.6041496156718804,0.7810524613377188,0.7,0.0,1.0,1,0.41999999999999993,49,7,7.455210310203242e-09,0.3,0.54,-0.29000000000000004,1,30,31.0,2.9802322387695312e-08,-0.39,-0.2,56.0,1.62659134040798e-08,6.502324884588068e-08
qwen3-1.7b,node_count,0.35,all,100,0.94,0.8752303146877748,0.9722142547333433,0.94,0.0,1.0,1,0.6599999999999999,69,3,2.6371947296289014e-17,0.56,0.76,-0.050000000000000044,1,6,7.0,0.125,-0.1,0.0,72.0,7.911584188886704e-17,0.15789473684210525
qwen3-1.7b,node_count,0.5,none,100,0.96,0.9016278276739262,0.984336949448152,0.96,0.0,1.0,1,0.0,0,0,,,,-0.040000000000000036,0,4,4.0,0.125,-0.08,-0.01,,,0.15789473684210525
qwen3-1.7b,node_count,0.5,filler,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.040000000000000036,4,0,0.125,0.01,0.08,0.0,0,0,,,,,4.0,0.13636363636363635,
qwen3-1.7b,node_count,0.5,degree,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.040000000000000036,4,0,0.125,0.01,0.08,0.0,0,0,0.0,1.0,0.0,0.0,4.0,0.13636363636363635,1.0
qwen3-1.7b,node_count,0.5,clustering,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.040000000000000036,4,0,0.125,0.01,0.08,0.0,0,0,0.0,1.0,0.0,0.0,4.0,0.13636363636363635,1.0
qwen3-1.7b,node_count,0.5,rwse,100,0.3,0.21894753866228117,0.39585038432811953,0.3,0.0,1.0,1,-0.6599999999999999,1,67,4.675621868843738e-19,-0.76,-0.57,-0.7,0,70,70.0,1.6940658945086007e-21,-0.78,-0.61,68.0,1.6030703550321388e-18,1.0164395367051604e-20
qwen3-1.7b,node_count,0.5,components,100,0.81,0.7222097592919214,0.8748534600729574,0.81,0.0,1.0,1,-0.1499999999999999,4,19,0.002599477767944336,-0.25,-0.06,-0.18999999999999995,0,19,19.0,3.814697265625e-06,-0.27,-0.12,23.0,0.0036698509665096506,7.62939453125e-06
qwen3-1.7b,node_count,0.5,all,100,0.98,0.9299868370580063,0.9944981477650318,0.98,0.0,1.0,1,0.020000000000000018,4,2,0.6875,-0.03,0.07,-0.020000000000000018,0,2,2.0,0.5,-0.05,0.0,6.0,0.717391304347826,0.6
qwen3-1.7b,cycle_check,0.1,none,100,0.83,0.7445181876635703,0.8910652394022684,0.83,0.17,0.86,1,0.0,0,0,,,,-0.12,5,17,22.0,0.01690053939819336,-0.21,-0.04,,,0.06760215759277344
qwen3-1.7b,cycle_check,0.1,filler,100,0.95,0.8882480347279118,0.9784566385436864,0.95,0.05,0.96,1,0.12,17,5,0.01690053939819336,0.03,0.21,0.0,0,0,,,,,22.0,0.05070161819458008,
qwen3-1.7b,cycle_check,0.1,degree,100,0.88,0.8018773199709163,0.9300066263473222,0.88,0.11,0.92,1,0.050000000000000044,14,9,0.4048728942871094,-0.04,0.15,-0.06999999999999995,5,12,17.0,0.143463134765625,-0.15,0.01,23.0,0.647796630859375,0.3443115234375
qwen3-1.7b,cycle_check,0.1,clustering,100,0.98,0.9299868370580063,0.9944981477650318,0.98,0.02,0.98,1,0.15000000000000002,16,1,0.000274658203125,0.08,0.23,0.030000000000000027,4,1,5.0,0.375,-0.01,0.08,17.0,0.002197265625,0.7267717633928571
qwen3-1.7b,cycle_check,0.1,rwse,100,0.93,0.8625032899347025,0.965681175635936,0.93,0.07,0.98,1,0.10000000000000009,17,7,0.06391465663909912,0.01,0.2,-0.019999999999999907,4,6,10.0,0.75390625,-0.08,0.04,24.0,0.13945015993985263,1.0
qwen3-1.7b,cycle_check,0.1,components,100,0.91,0.8377362530335634,0.9519280048361151,0.91,0.1,0.95,1,0.08000000000000007,13,5,0.09625244140625,0.0,0.16,-0.039999999999999925,5,9,14.0,0.4239501953125,-0.11,0.03,18.0,0.1925048828125,0.7267717633928571
qwen3-1.7b,cycle_check,0.1,all,100,0.95,0.8882480347279118,0.9784566385436864,0.95,0.03,0.98,1,0.12,15,3,0.007537841796875,0.04,0.2,0.0,4,4,8.0,1.0,-0.05,0.06,18.0,0.037421226501464844,1.0
qwen3-1.7b,cycle_check,0.2,none,100,0.92,0.8500173312059693,0.9589070305141891,0.92,0.09,0.94,1,0.0,0,0,,,,0.020000000000000018,10,8,18.0,0.8145294189453125,-0.06,0.1,,,1.0
qwen3-1.7b,cycle_check,0.2,filler,100,0.9,0.8256326956323347,0.9447714583868639,0.9,0.1,0.91,1,-0.020000000000000018,8,10,0.8145294189453125,-0.1,0.06,0.0,0,0,,,,,18.0,1.0,
qwen3-1.7b,cycle_check,0.2,degree,100,0.78,0.6892946528499969,0.849988254963442,0.78,0.09,0.95,1,-0.14,6,20,0.009355306625366211,-0.24,-0.05,-0.12,9,21,30.0,0.04277394525706768,-0.22,-0.019750000000001364,26.0,0.037421226501464844,0.1466535265956606
qwen3-1.7b,cycle_check,0.2,clustering,100,0.99,0.9455124752390653,0.9982326134344526,0.99,0.01,0.99,1,0.06999999999999995,8,1,0.0390625,0.01,0.13,0.08999999999999997,10,1,11.0,0.01171875,0.03,0.16,9.0,0.09375,0.05625
